pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
2013-01-01 15:11:48,2013-01-01 15:18:10,382,1.00,-73.978165,40.757977,-73.989838,40.751171,7
2013-01-06 00:18:35,2013-01-06 00:22:54,259,1.50,-74.006683,40.731781,-73.994499,40.75066,7
2013-01-05 18:49:41,2013-01-05 18:54:23,282,1.10,-74.004707,40.73777,-74.009834,40.726002,7
2013-01-07 23:54:15,2013-01-07 23:58:20,244,.70,-73.974602,40.759945,-73.984734,40.759388,6
2013-01-07 23:25:03,2013-01-07 23:34:24,560,2.10,-73.97625,40.748528,-74.002586,40.747868,10.5
2013-01-07 15:27:48,2013-01-07 15:38:37,648,1.70,-73.966743,40.764252,-73.983322,40.743763,10
2013-01-08 11:01:15,2013-01-08 11:08:14,418,.80,-73.995804,40.743977,-74.007416,40.744343,6.5
2013-01-07 12:39:18,2013-01-07 13:10:56,1898,10.70,-73.989937,40.756775,-73.86525,40.77063,39.3
2013-01-07 18:15:47,2013-01-07 18:20:47,299,.80,-73.980072,40.743137,-73.982712,40.735336,7
2013-01-07 15:33:28,2013-01-07 15:49:26,957,2.50,-73.977936,40.786983,-73.952919,40.80637,13.5
2013-01-08 13:11:52,2013-01-08 13:19:50,477,1.30,-73.982452,40.773167,-73.964134,40.773815,8
2013-01-08 09:50:05,2013-01-08 10:02:54,768,.70,-73.99556,40.749294,-73.988686,40.759052,9.5
2013-01-10 12:07:08,2013-01-10 12:17:29,620,2.30,-73.971497,40.791321,-73.964478,40.775921,10
2013-01-07 07:35:47,2013-01-07 07:46:00,612,2.30,-73.98851,40.774307,-73.981094,40.755325,10.5
2013-01-10 15:42:29,2013-01-10 16:04:02,1293,3.20,-73.994911,40.723221,-73.971558,40.761612,16
2013-01-10 14:27:28,2013-01-10 14:45:21,1073,4.40,-74.010391,40.708702,-73.987846,40.756104,17
2013-01-07 22:09:59,2013-01-07 22:19:50,591,1.70,-73.973732,40.756287,-73.998413,40.756832,10
2013-01-07 17:18:16,2013-01-07 17:20:55,158,.70,-73.968925,40.767704,-73.96199,40.776566,6
2013-01-07 06:08:51,2013-01-07 06:13:14,262,1.70,-73.96212,40.769737,-73.979561,40.75539,7.5
2013-01-07 22:25:46,2013-01-07 22:36:56,669,2.30,-73.989708,40.756714,-73.977615,40.787575,11.5
2013-01-10 23:41:51,2013-01-11 00:09:11,1640,17.50,-73.78331,40.648766,-73.988914,40.748207,57.3
2013-01-07 18:05:36,2013-01-07 18:23:50,1094,3.80,-73.956505,40.771278,-73.996368,40.73246,17
2013-01-08 13:29:25,2013-01-08 13:37:52,507,1.20,-73.95578,40.77932,-73.967285,40.763344,8
2013-01-07 21:13:02,2013-01-07 21:22:31,568,1.10,-73.978439,40.764679,-73.977684,40.777004,9
2013-01-01 18:36:53,2013-01-01 18:39:04,131,.50,-73.992172,40.749954,-73.99675,40.744553,4.5
2013-01-07 08:17:06,2013-01-07 08:22:46,340,1.50,-73.992111,40.689701,-74.007156,40.679295,7.5
2013-01-07 22:39:03,2013-01-07 22:44:16,312,1.50,-73.978653,40.787735,-73.96579,40.805321,8
2013-01-07 06:26:32,2013-01-07 06:28:24,111,.50,-73.965317,40.769375,-73.967133,40.763699,5
